,ANHEUSER-BUSCH INBEV SA/NV,KONINKLIJKE AHOLD DELHAIZE N,ADIDAS AG,AIR LIQUIDE SA,AIRBUS SE,ALLIANZ SE-REG,ASML HOLDING NV,BASF SE,BAYER AG-REG,BANCO BILBAO VIZCAYA ARGENTA,BAYERISCHE MOTOREN WERKE AG,DANONE,BNP PARIBAS,CRH PLC,AXA SA,DEUTSCHE BOERSE AG,VINCI SA,DEUTSCHE POST AG-REG,DEUTSCHE TELEKOM AG-REG,ESSILORLUXOTTICA,ENEL SPA,ENGIE,ENI SPA,FRESENIUS SE & CO KGAA,SOCIETE GENERALE SA,IBERDROLA SA,ING GROEP NV,INTESA SANPAOLO,INDUSTRIA DE DISENO TEXTIL,KERING,LVMH MOET HENNESSY LOUIS VUI,MUENCHENER RUECKVER AG-REG,NOKIA OYJ,L'OREAL,ORANGE,KONINKLIJKE PHILIPS NV,SAFRAN SA,SANOFI,BANCO SANTANDER SA,SAP SE,SIEMENS AG-REG,SCHNEIDER ELECTRIC SE,TELEFONICA SA,TOTALENERGIES SE,VIVENDI SE,VOLKSWAGEN AG-PREF
31/07/2008,2,1,1,1,2,1,1,1,1,1,2,2,1,2,1,2,2,2,2,1,2,1,1,2,1,2,1,1,2,2,1,1,2,2,2,1,1,2,1,1,1,1,2,1,2,2
29/08/2008,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,2,1,1,2,1,2,1,1,2,1,1,2,1,2,1,2,2
30/09/2008,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,2,2,2
31/10/2008,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,1,2,1,2
28/11/2008,1,2,1,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,2,2,1,2,1,2,2,1,1,1,1,1,2,2,1
31/12/2008,1,2,1,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,2,1,1
30/01/2009,2,1,2,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2
27/02/2009,2,1,2,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2
31/03/2009,2,1,2,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,1,2,2
30/04/2009,1,2,1,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,2,2,2,1,2,2,1,1,1,1,1,1,1,2,1,1,2,1,2,2,1,1,1,1,1,2,1,1
