,ANHEUSER-BUSCH INBEV SA/NV,KONINKLIJKE AHOLD DELHAIZE N,ADIDAS AG,AIR LIQUIDE SA,AIRBUS SE,ALLIANZ SE-REG,ASML HOLDING NV,BASF SE,BAYER AG-REG,BANCO BILBAO VIZCAYA ARGENTA,BAYERISCHE MOTOREN WERKE AG,DANONE,BNP PARIBAS,CRH PLC,AXA SA,DEUTSCHE BOERSE AG,VINCI SA,DEUTSCHE POST AG-REG,DEUTSCHE TELEKOM AG-REG,ESSILORLUXOTTICA,ENEL SPA,ENGIE,ENI SPA,FRESENIUS SE & CO KGAA,SOCIETE GENERALE SA,IBERDROLA SA,ING GROEP NV,INTESA SANPAOLO,INDUSTRIA DE DISENO TEXTIL,KERING,LVMH MOET HENNESSY LOUIS VUI,MUENCHENER RUECKVER AG-REG,NOKIA OYJ,L'OREAL,ORANGE,KONINKLIJKE PHILIPS NV,SAFRAN SA,SANOFI,BANCO SANTANDER SA,SAP SE,SIEMENS AG-REG,SCHNEIDER ELECTRIC SE,TELEFONICA SA,TOTALENERGIES SE,VIVENDI SE,VOLKSWAGEN AG-PREF,EUROSTOXX 50 TR index
31/08/2005,0.032277053,-0.008261366,-0.032120551,-0.038226022,-0.013341058,0.0007683,-0.058905059,-0.030888243,-0.029504742,-0.033069855,-0.060369639,0.042891379,-0.011735551,-0.056958641,-0.044366231,0.023484134,0.07784413,-0.000953289,-0.059241836,0.055044655,0.018119721,0.000738552,0.024360251,-0.0253979,-0.029916702,-0.008076623,-0.036247941,-0.026177636,0.002712594,0.043861658,-0.044457617,-0.054463554,-0.037204207,-0.000768941,-0.041616052,-0.046897812,-0.083511393,-0.030133737,-0.022392757,-0.029690564,-0.033152974,-0.016959908,-0.036717413,0.029469813,-0.02971805,-0.054894165,-0.017133128
30/09/2005,0.040153963,-0.126392112,-0.000128034,0.085876629,0.078215194,0.070920546,0.005891016,0.100571784,0.065704141,0.084757564,0.072500823,0.053466254,0.072943532,0.029067623,0.060355869,0.072289157,-0.004860741,-0.04797016,-0.016862426,0.089327211,-0.003478398,0.026568266,0.030869554,0.111448923,0.084522947,0.114568514,0.052675439,-0.007155284,0.104989694,0.004607789,0.047301489,0.046257914,0.099369892,-0.009219868,-0.018040167,0.036082562,0.069679807,-0.006501812,0.104046133,0.045056426,0.041608027,0.030588203,0.017938637,0.065695958,0.066348473,0.179864713,0.050471162
31/10/2005,0.013385719,-0.074717852,-0.031756601,-0.00849616,-0.020340506,0.048870725,0.032210835,-0.037601914,-0.049840291,0.016266492,-0.073217363,-0.050752697,0,-0.075389874,0.057791701,-0.012571865,-0.09002143,-0.044191344,-0.02578661,-0.002900666,-0.060977125,-0.078001438,-0.076370759,0.008362642,0.00316007,-0.039147792,-0.029457018,0.004121727,0.011055843,0.004040625,-0.01525248,0.031577702,-0.004303569,-0.048096369,-0.092128738,-0.014020409,-0.075719722,-0.028364272,-0.026536301,-0.007655734,-0.031839135,0.043378748,-0.022760975,-0.077938462,-0.032396659,-0.107430817,-0.030920356
30/11/2005,0.07645839,0.097934473,0.065014415,0.011206594,0.087544123,0.048031298,0.15248227,0.041556429,0.168782241,0.021070545,0.030943588,0.02585258,0.062450703,0.076740073,0.05918715,0.063683804,0.036810338,-0.009103908,-0.044074794,0.026927383,0.021232572,0.001949318,0.028621645,-0.046426911,0.06141673,0.000452227,0.144280522,0.053165864,0.010531373,0.043289102,0.077744361,0.131224443,0.044668996,-0.000815937,-0.019369758,0.088535384,0.091564548,0.026945773,0.024061462,0.074657571,0.036744545,0.068562585,-0.036228253,0.028303859,-0.062027681,-0.039810254,0.039494291
30/12/2005,0.024206382,-0.00938615,0.07316528,0.059320189,0.014954764,0.036040358,0.04,0.032868066,0.04222663,0.003997709,-0.007238142,0.010882727,0.017112975,0.106901626,0.065261424,0.03665849,0.085058003,0.111212661,-0.00139718,-0.033309923,-0.007185601,-0.036575875,0.018695604,0.058928717,0.027695638,0.033110618,0.064680036,0.09146498,0.104216192,0.040450375,0.034323985,0.031747506,0.065511313,0.024467282,-0.012703002,0.106191081,0.114791042,0.078717593,0.032409319,-0.001259446,0.125267242,0.028669298,0.011944168,-0.000941457,0.07343478,-0.001536461,0.038279344
31/01/2006,0.054383382,0.003161772,0.075628891,0.041230585,0.010972378,0.036812479,0.097633136,0.002335114,-0.02605096,0.110457621,0.004852315,0.016429947,0.073884745,0.026156704,0.023477294,0.202620393,0.053683243,0.132331934,-0.074599339,0.053520455,0.050212382,0.050484653,0.06188776,0.169864906,0.046197857,0.031078661,0.00238965,0.046486764,0.026126793,0.009018036,-0.010656954,-0.02316596,-0.025886525,0.063692831,-0.108147342,0.05828765,0.076236018,0.019594662,0.061883849,0.100176545,0.055098163,0.141340142,-0.011803189,0.070688616,-0.025698667,0.091074811,0.032522902
28/02/2006,0.00054293,0.07716317,-0.046945933,-0.021275493,-0.04620339,0.020732439,-0.061455526,-0.024684627,-0.016879183,0.027678888,0.083527314,0.081382314,0.057901281,0.076866089,0.062367474,0.014228457,0.012409561,-0.055202997,0.016150093,0.006263027,0.001005491,0.116109189,-0.036979789,0.059182468,0.093836391,0.129744066,0.073546336,0.059133633,0.065793891,0.007249255,0.026997546,0.018075621,0.043186506,0.111528999,-0.02510587,-0.016559023,-0.017479015,-0.053677565,0.042738866,0.01512998,0.02585034,-0.002907493,0.030259535,-0.071303908,-0.012797398,0.219389416,0.022782684
31/03/2006,-0.002325581,-0.051172304,-0.005056776,0.037439441,0.130363804,0.017576723,-0.032165422,0.022768277,-0.021616518,0.008197991,0.126682665,0.042267899,-0.005157974,0.059135809,-0.022944096,0.127103878,0.069134348,-0.055676944,0.051332341,0.017979154,0.001139916,0.02790217,-0.020031206,0.072167503,0.043734682,0.00642064,0.033934861,-0.006038508,0.057086614,0.03046436,0.060939989,0.028570488,0.111464598,-0.020874145,0.016987075,0.036967718,-0.020598214,0.099439137,-0.016324104,0.046520031,0.000520102,0.039067942,0.000767678,0.031754525,0.113553347,0.047421616,0.02192225
28/04/2006,0.045571096,0.009241517,0.025480453,-0.001745797,-0.100371663,-0.036870818,-0.002967359,0.050386345,0.107397719,0.027944013,-0.051482819,-0.021761162,-0.022830946,0.01215399,0.004488549,-0.036718887,-0.031960019,0.021252892,0.028755227,0.080164282,-0.017766955,-0.045576408,0.031514175,-0.05974116,-0.024174293,-0.030778741,0.009056965,-0.000329963,0.012558659,0.03166858,0.031535477,-0.013964469,0.056796597,0.011003858,-0.002691623,-0.019360682,-0.027246171,-0.047770993,0.019915533,-0.032454361,-0.026485419,0.007294519,-0.019305074,0.006890583,0.021172396,-0.028489883,-0.001102611
31/05/2006,-0.061531602,-0.025947827,-0.067837862,-0.032199302,-0.092903552,-0.071193393,-0.060119048,-0.038436975,-0.017612255,-0.076527192,-0.0536142,-0.031412783,0.00667537,-0.097769984,-0.039264891,-0.096239432,-0.074141913,0.033145926,-0.069097049,-2.09298E-05,0.014438527,-0.015688202,-0.030965726,-0.060771783,-0.007431574,-0.029818777,-0.053624673,-0.040773532,-0.040622057,-0.058425299,-0.070120102,-0.058491255,-0.074238576,-0.036584426,-0.004813973,-0.102740739,-0.137735544,-0.016053318,-0.072645437,-0.045965476,-0.105059405,-0.07568857,0.025819488,-0.048478032,0.002403549,-0.081680831,-0.042522349
